"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat"
0,532.04,"Entire home/apt","False","False",4,"False",0,1,10,91,1,1.11199803129525,0.630503955431967,526.471472372584,20.3276719503918,915.59145484879,20.1124680909976,2.17556,41.39624
1,169.9,"Private room","False","True",2,"True",1,0,10,88,1,1.75183092640149,0.124012732506658,320.128263835937,12.3605222140129,794.279659779398,17.4476555324338,2.14906,41.38714
2,196.9,"Private room","False","True",2,"False",1,0,9,90,1,0.621730811183724,0.297515604675003,503.354025061179,19.4350805946647,1242.43422147,27.2921055588113,2.165,41.383
3,141.27,"Private room","False","True",3,"False",0,1,9,86,1,1.64831092573164,0.0894418873972904,342.595820143411,13.2280205270498,820.921957510214,18.0328973017231,2.15342,41.37912
4,715.2,"Entire home/apt","False","False",4,"True",0,1,9,95,2,0.69356031913171,0.357653010138623,537.80313453183,20.7652005214799,1081.56011628741,23.7582419671213,2.17498,41.39214
5,173.39,"Private room","False","True",2,"False",0,0,9,96,1,1.47421894649483,0.590510763977392,448.406196578524,17.3134814380226,752.76107670012,16.53563175486,2.18195,41.39691
6,258.11,"Private room","False","True",4,"False",1,0,9,84,1,0.96266550519598,0.356151222951131,791.861018193264,30.5746690045615,1885.50208453769,41.4181459535756,2.17742,41.3805
7,740.57,"Entire home/apt","False","False",5,"False",0,1,9,87,2,1.16069511189324,0.41728781484025,622.421176817934,24.032400920629,1692.22167663715,37.1724247687306,2.18057,41.38035
8,190.84,"Private room","False","True",2,"True",1,0,10,98,1,2.21406965965872,0.376034034073955,589.721624670777,22.769833423901,647.254229445481,14.2180007988775,2.17853,41.40602
9,387.51,"Private room","False","True",2,"False",1,0,9,91,1,1.54933546889084,0.576088713677263,394.157580418402,15.2188796771787,780.623570957805,17.1476771422712,2.18778,41.3911
10,118,"Private room","False","True",2,"False",1,0,8,84,1,2.57747493722013,0.0505123549909084,289.920867593053,11.1941797367394,590.059600508327,12.9616269616348,2.14385,41.37486
11,155,"Private room","False","True",2,"False",1,0,10,100,1,1.83993617010407,0.511810264576579,352.217973774106,13.5995429983047,737.014511386436,16.1897326196758,2.165,41.371
12,150.58,"Private room","False","True",2,"False",1,0,8,87,1,0.250333231005262,0.252829685958909,574.414848303747,22.1788210995204,1438.18795581626,31.5921574158734,2.16704,41.38741
13,298.6,"Entire home/apt","False","False",2,"False",0,1,8,68,1,1.66285909507239,0.445248770127931,428.72785633255,16.5536779804,944.388005004423,20.7450315482785,2.15737,41.3987
14,532.04,"Entire home/apt","False","False",4,"False",0,1,10,91,1,1.19557204591777,0.579879895665611,512.845336203168,19.8015510862261,862.671944101545,18.9500042369952,2.17717,41.39646
15,601.62,"Entire home/apt","False","False",4,"False",0,1,9,92,1,1.61817977776639,0.594302919415376,461.315642259067,17.8119300541895,934.65446918356,20.5312184686861,2.16091,41.4
16,830.87,"Entire home/apt","False","False",4,"True",0,1,10,98,2,1.06810541474848,0.783684050588978,555.112528629311,21.4335362307026,1006.29933294941,22.1050154157234,2.17052,41.39675
17,451.28,"Entire home/apt","False","False",4,"False",0,1,9,87,1,0.594723069306721,0.315837566205532,712.935442647025,27.5272613245792,1570.87150617188,34.5067692316514,2.164,41.39
18,188.52,"Private room","False","True",2,"False",1,0,9,89,1,0.893607281866932,0.241492847037272,904.8098118025,34.93575245194,2068.8917751168,45.4466013093537,2.17594,41.38044
19,208.53,"Private room","False","True",2,"False",0,0,9,92,1,2.01464848760698,1.20376102875925,348.574879084721,13.4588789023067,1027.63754218662,22.5737441812987,2.18995,41.37695
20,190.84,"Private room","False","True",2,"False",1,0,9,93,1,1.34188863616675,0.402130700047547,443.975150856418,17.1423936420775,791.966642892127,17.3968463226134,2.18211,41.39508
21,246.47,"Private room","False","True",3,"True",1,0,10,97,1,0.650221147391564,0.294319819996324,565.413499872799,21.831268634444,1124.67023511865,24.7052264379796,2.17636,41.39052
22,237.39,"Private room","False","True",2,"False",0,0,9,95,1,0.827518107862667,0.13396784155299,1372.6266870435,52.9987026245306,1979.70290670529,43.487421523982,2.17441,41.38046
23,143.37,"Private room","False","True",2,"False",1,0,10,88,1,1.00624154964136,0.387398182947401,616.556066244505,23.8059422235373,1281.40311767546,28.1481212821157,2.17135,41.37813
24,135.45,"Private room","False","True",2,"True",1,0,10,95,1,2.00315390986221,0.208508697462598,821.547317823533,31.7208913394312,704.55879353468,15.4767895420543,2.17212,41.40511
25,229.25,"Private room","False","True",2,"False",1,0,9,92,1,0.747645359823805,0.428540444587141,483.398957100001,18.6645923601654,1176.36415099,25.8407680902694,2.1647,41.38172
26,416.6,"Private room","False","True",5,"True",0,0,10,96,2,1.28890647189203,0.155559531376484,566.492171701137,21.8729174002732,1228.53627505583,26.9868143699246,2.17738,41.37694
27,156.17,"Private room","False","True",2,"False",1,0,10,92,1,1.42713339910946,0.164535998851729,359.259069453564,13.8714078393346,869.524702315255,19.1005363112939,2.1561,41.37969
28,156.17,"Private room","False","True",2,"False",1,0,10,95,1,1.46799863051545,0.131163168675284,357.164007606468,13.7905150803184,862.211699151013,18.9398942017469,2.15595,41.37922
29,134.29,"Private room","False","True",2,"False",1,0,7,85,1,1.8406979338483,0.526932561956231,514.540915188253,19.8670193502889,663.233203597813,14.5690051754077,2.18117,41.40143
30,173.62,"Private room","False","True",2,"False",0,0,9,86,1,0.753702220178457,0.0531795227633115,2064.85270444122,79.7263491079642,1882.47673163372,41.3516891147497,2.17354,41.38089
31,196.9,"Private room","False","True",2,"False",0,0,9,94,1,1.85614462430597,0.881943214452231,448.194849442453,17.3053210808614,771.433655282036,16.9458055708307,2.163,41.403
32,178.28,"Private room","False","True",2,"True",1,0,10,97,1,1.90092512029678,0.311765832741621,345.339730499009,13.333966076803,796.902894218385,17.5052791796073,2.15171,41.37698
33,195.5,"Private room","False","True",2,"True",1,0,9,94,1,1.22868558314223,0.450253319334688,585.168109206593,22.5940169296856,1418.28784532444,31.1550188480609,2.1817,41.38043
34,146.86,"Private room","False","True",2,"True",0,1,10,97,1,2.01379174762486,0.245458845060242,350.095974036419,13.5176101362027,888.787040129985,19.5236651561571,2.15024,41.37678
35,173.62,"Private room","False","True",2,"True",0,0,10,94,1,2.26436991601513,0.77459636359534,295.556849874856,11.4117915257058,585.310279879464,12.8573003440194,2.19509,41.39484
36,242.98,"Private room","False","True",2,"False",1,0,9,91,1,1.16997741953677,0.345536817715219,644.105905411434,24.8696733509764,1590.75636523261,34.9435727767642,2.18245,41.38231
37,219.7,"Private room","False","True",2,"True",0,0,9,95,1,0.562833004496253,0.169871207856533,1211.03214357903,46.7593505591363,1815.28388746329,39.8756880804846,2.17165,41.38222
38,509.23,"Entire home/apt","False","False",4,"False",0,0,9,87,1,1.19680089127569,0.455053908747424,395.185872476576,15.2585832218619,1042.33670275212,22.8966353531988,2.15572,41.38773
39,196.9,"Private room","False","True",2,"False",0,0,10,97,1,2.52410520981275,1.01342071920986,389.293689094179,15.03107921233,561.037730486538,12.3241139839163,2.16429,41.40946
40,161.98,"Private room","False","True",2,"False",0,0,10,95,1,0.234330413016123,0.234107612536873,680.955660984397,26.2924849980416,1463.90089267113,32.1569842491522,2.1728,41.38692
41,381.92,"Private room","False","True",2,"True",0,0,10,96,1,0.976245673757617,0.222910253493029,774.627139531554,29.9092490335813,1718.82610439446,37.7568346619361,2.17941,41.38192
42,222.26,"Private room","False","True",2,"True",1,0,10,95,1,0.953491679549713,0.183154400980765,828.657876765379,31.9954382372952,1613.68382995294,35.4472121457787,2.18089,41.38456
43,215.28,"Private room","False","True",2,"False",0,1,8,85,1,0.619960708242574,0.486778542870832,565.220366910729,21.8238115475898,1321.92806002404,29.0383181112353,2.1672,41.38197
44,182.93,"Private room","False","True",2,"False",1,0,10,91,1,1.04017465952646,0.260467236065656,691.866105846507,26.7137498825193,1386.04047237928,30.4466524080473,2.17304,41.37805
45,248.56,"Private room","False","True",2,"False",1,0,9,90,1,1.20049812676077,0.196092674890157,637.726893439375,24.6233723270077,1350.89100802319,29.6745367700805,2.17732,41.37783
46,157.56,"Private room","False","True",2,"True",0,0,10,95,1,2.54544254580172,0.872426845863038,379.557912470863,14.6551696260248,586.174328129413,12.8762805810718,2.15934,41.40861
47,229.25,"Private room","False","True",2,"False",0,0,10,93,1,0.555282186985865,0.28772827213534,731.608520623917,28.2482504442892,1342.24105083819,29.4845262725486,2.17651,41.38817
48,208.3,"Private room","False","True",2,"False",0,0,10,100,1,1.2287856665875,0.228936278948568,613.918736071195,23.7041118577887,1349.85112147592,29.6516939564115,2.17786,41.37778
49,631.88,"Entire home/apt","False","False",4,"False",0,0,10,99,1,0.798886712690978,0.14631057957755,1056.05768869731,40.775607764243,2006.12447175062,44.0678145377811,2.175,41.381
50,179.44,"Private room","False","True",2,"False",1,0,7,79,1,0.340728102234392,0.322823287347973,578.682177229629,22.3435876007685,1486.11212133187,32.6448903183223,2.16768,41.38462
51,462.91,"Private room","False","True",4,"False",1,0,10,92,2,1.06666189785668,0.315282974103119,696.043930347617,26.8750605144936,1940.98545696318,42.6369292346765,2.18002,41.38118
52,190.84,"Private room","False","True",2,"False",1,0,10,92,1,1.41438465503132,0.179263628849541,359.435876283489,13.8782345553599,876.91631380508,19.2629051816486,2.156,41.38
53,167.8,"Private room","False","True",2,"False",1,0,10,92,1,1.41439235773904,0.179258922111451,359.434805328742,13.8781932045595,876.917390903714,19.2629288418868,2.156,41.38
54,705.89,"Entire home/apt","False","False",4,"True",0,1,10,98,1,0.87603004239045,0.334141679213253,765.298934462897,29.5490762560002,1313.76447731615,28.8589916268615,2.163,41.393
55,167.8,"Private room","False","True",2,"False",1,0,10,88,1,1.41439185916278,0.179254298196978,359.435620624159,13.8782246840577,876.910509973808,19.262777690975,2.156,41.38
56,219.7,"Private room","False","True",2,"False",0,0,10,93,1,0.217551962970101,0.20647690741353,576.407596033261,22.2557633922204,1483.11278899535,32.5790050639406,2.16778,41.38613
57,286.96,"Private room","False","True",2,"True",0,0,10,98,1,2.26167435694763,0.314816958813311,292.885078282679,11.3086313369734,685.339580113545,15.0546079952305,2.19705,41.38774
58,389.83,"Private room","False","True",2,"True",1,0,10,96,1,1.76273159706318,0.624446047258792,349.056436227704,13.4774723800954,944.392299631255,20.745125886801,2.151,41.394
59,379.36,"Private room","False","True",2,"True",1,0,10,96,1,1.76275487596267,0.624454015935348,349.052424729842,13.4773174915271,944.382157231034,20.7449030923442,2.151,41.394
60,167.8,"Private room","False","True",2,"True",1,0,10,96,1,0.497764632072443,0.170744829007296,527.984099476343,20.3860762308933,1286.18158975639,28.2530882591911,2.16406,41.38704
61,416.6,"Entire home/apt","False","False",5,"False",0,1,10,92,1,0.945030679902593,0.178222821092683,420.041414297171,16.2182844151693,1062.71203669912,23.3442129836828,2.161,41.382
62,240.88,"Private room","False","True",2,"False",1,0,9,94,1,0.792725594091874,0.201341050774736,542.522425248579,20.9474177897704,1083.91620074967,23.8099972268673,2.17819,41.39075
63,115.67,"Private room","False","True",2,"False",0,0,10,93,1,2.09029796355698,0.127845590965319,901.625616727606,34.8128070003721,713.263750875309,15.6680082082178,2.17517,41.40556
64,171.29,"Private room","False","True",2,"False",0,1,8,76,1,0.546375423059279,0.200264845254586,509.731584295003,19.6813255267312,1266.08208539323,27.8115696779415,2.16501,41.38397
65,121.49,"Private room","False","True",2,"False",0,0,9,94,1,1.18297468052589,0.352419430268357,474.7860376128,18.3320375854842,851.897620865381,18.7133285546897,2.17969,41.39491
66,175.95,"Private room","False","True",3,"False",0,0,9,89,1,1.60138289777256,0.564394364085777,463.729395364919,17.905127850993,971.142693603982,21.3327421673472,2.16072,41.39975
67,161.98,"Private room","False","True",2,"False",0,0,10,100,1,0.470116922918527,0.183830349526522,744.96778339089,28.7640670179818,1304.87411590027,28.6637002560788,2.17534,41.38849
68,173.62,"Private room","False","True",2,"False",1,0,9,83,1,1.43539398195018,0.222118212785042,372.750462416168,14.3923261125731,895.50164680142,19.6711625052287,2.15988,41.3767
69,183.86,"Private room","False","True",2,"False",1,0,9,90,1,1.52461845697361,0.146719717136887,372.248030727462,14.3729266444509,900.595797997666,19.7830638918599,2.16203,41.37479
70,219.7,"Private room","False","True",2,"False",0,0,10,90,1,1.56924941567518,0.159674900813243,343.714715014656,13.2712223510483,835.688018255963,18.3572580458146,2.15366,41.3802
71,173.62,"Private room","False","True",2,"False",0,0,9,93,1,1.21810232454677,0.360068257055508,466.363872058797,18.0068480406032,922.038584382511,20.2540898660139,2.18399,41.39023
72,183.86,"Private room","False","True",2,"False",1,0,10,94,1,1.49695570241484,0.252043317543316,377.760996106819,14.5857886086527,948.188130342998,20.8285075344392,2.16329,41.37464
73,190.84,"Private room","False","True",2,"True",1,0,10,97,1,1.35535956122366,0.340396650703285,372.280391102303,14.3741761159199,904.994167275459,19.8796812874063,2.15849,41.37855
74,237.16,"Private room","False","True",2,"False",1,0,9,82,1,0.234502566944007,0.229103787830048,685.084378705347,26.4518995604851,1684.48199144835,37.0024098886551,2.17265,41.38642
